benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
rc.1-1-hc-repair-po-5.dft 100 true true true 22 0 0 9 3 0 0 0 1 0 21 2 0 0 42 0 0
rc.1-1-sc-repair-po-5.dft 44 true true true 10 0 0 4 1 0 0 0 1 0 9 1 0 0 18 0 0
rc.1-10-hc-repair-po-5.dft 255 true true true 49 0 0 28 12 0 0 0 10 0 48 2 0 0 106 0 0
rc.1-10-sc-repair-po-5.dft 199 true true true 37 0 0 23 10 0 0 0 10 0 36 1 0 0 82 0 0
rc.1-15-hc-repair-po-5.dft 340 true true true 64 0 0 38 17 0 0 0 15 0 63 2 0 0 141 0 0
rc.1-15-sc-repair-po-5.dft 284 true true true 52 0 0 33 15 0 0 0 15 0 51 1 0 0 117 0 0
rc.1-2-hc-repair-po-5.dft 119 true true true 25 0 0 12 4 0 0 0 2 0 24 2 0 0 50 0 0
rc.1-2-sc-repair-po-5.dft 63 true true true 13 0 0 7 2 0 0 0 2 0 12 1 0 0 26 0 0
rc.1-20-hc-repair-po-5.dft 425 true true true 79 0 0 48 22 0 0 0 20 0 78 2 0 0 176 0 0
rc.1-20-sc-repair-po-5.dft 369 true true true 67 0 0 43 20 0 0 0 20 0 66 1 0 0 152 0 0
rc.1-25-hc-repair-po-5.dft 510 true true true 94 0 0 58 27 0 0 0 25 0 93 2 0 0 211 0 0
rc.1-25-sc-repair-po-5.dft 454 true true true 82 0 0 53 25 0 0 0 25 0 81 1 0 0 187 0 0
rc.1-3-hc-repair-po-5.dft 136 true true true 28 0 0 14 5 0 0 0 3 0 27 2 0 0 57 0 0
rc.1-3-sc-repair-po-5.dft 80 true true true 16 0 0 9 3 0 0 0 3 0 15 1 0 0 33 0 0
rc.1-30-hc-repair-po-5.dft 595 true true true 109 0 0 68 32 0 0 0 30 0 108 2 0 0 246 0 0
rc.1-30-sc-repair-po-5.dft 539 true true true 97 0 0 63 30 0 0 0 30 0 96 1 0 0 222 0 0
rc.1-4-hc-repair-po-5.dft 153 true true true 31 0 0 16 6 0 0 0 4 0 30 2 0 0 64 0 0
rc.1-4-sc-repair-po-5.dft 97 true true true 19 0 0 11 4 0 0 0 4 0 18 1 0 0 40 0 0
rc.1-5-hc-repair-po-5.dft 170 true true true 34 0 0 18 7 0 0 0 5 0 33 2 0 0 71 0 0
rc.1-5-sc-repair-po-5.dft 114 true true true 22 0 0 13 5 0 0 0 5 0 21 1 0 0 47 0 0
rc.10-1-hc-repair-po-5.dft 291 true true true 67 0 0 19 3 0 0 0 1 0 66 11 0 0 124 0 0
rc.10-1-sc-repair-po-5.dft 235 true true true 55 0 0 14 1 0 0 0 1 0 54 10 0 0 100 0 0
rc.10-10-hc-repair-po-5.dft 446 true true true 94 0 0 38 12 0 0 0 10 0 93 11 0 0 188 0 0
rc.10-10-sc-repair-po-5.dft 390 true true true 82 0 0 33 10 0 0 0 10 0 81 10 0 0 164 0 0
rc.15-1-hc-repair-po-5.dft 396 true true true 92 0 0 24 3 0 0 0 1 0 91 16 0 0 169 0 0
rc.15-1-sc-repair-po-5.dft 340 true true true 80 0 0 19 1 0 0 0 1 0 79 15 0 0 145 0 0
rc.15-15-hc-repair-po-5.dft 636 true true true 134 0 0 53 17 0 0 0 15 0 133 16 0 0 268 0 0
rc.15-15-sc-repair-po-5.dft 580 true true true 122 0 0 48 15 0 0 0 15 0 121 15 0 0 244 0 0
rc.2-1-hc-repair-po-5.dft 123 true true true 27 0 0 11 3 0 0 0 1 0 26 3 0 0 52 0 0
rc.2-1-sc-repair-po-5.dft 67 true true true 15 0 0 6 1 0 0 0 1 0 14 2 0 0 28 0 0
rc.2-2-hc-repair-po-5.dft 142 true true true 30 0 0 14 4 0 0 0 2 0 29 3 0 0 60 0 0
rc.2-2-sc-repair-po-5.dft 86 true true true 18 0 0 9 2 0 0 0 2 0 17 2 0 0 36 0 0
rc.2-3-hc-repair-po-5.dft 159 true true true 33 0 0 16 5 0 0 0 3 0 32 3 0 0 67 0 0
rc.2-3-sc-repair-po-5.dft 103 true true true 21 0 0 11 3 0 0 0 3 0 20 2 0 0 43 0 0
rc.2-4-hc-repair-po-5.dft 176 true true true 36 0 0 18 6 0 0 0 4 0 35 3 0 0 74 0 0
rc.2-4-sc-repair-po-5.dft 120 true true true 24 0 0 13 4 0 0 0 4 0 23 2 0 0 50 0 0
rc.20-1-hc-repair-po-5.dft 501 true true true 117 0 0 29 3 0 0 0 1 0 116 21 0 0 214 0 0
rc.20-1-sc-repair-po-5.dft 445 true true true 105 0 0 24 1 0 0 0 1 0 104 20 0 0 190 0 0
rc.20-20-hc-repair-po-5.dft 826 true true true 174 0 0 68 22 0 0 0 20 0 173 21 0 0 348 0 0
rc.20-20-sc-repair-po-5.dft 770 true true true 162 0 0 63 20 0 0 0 20 0 161 20 0 0 324 0 0
rc.25-1-hc-repair-po-5.dft 606 true true true 142 0 0 34 3 0 0 0 1 0 141 26 0 0 259 0 0
rc.25-1-sc-repair-po-5.dft 550 true true true 130 0 0 29 1 0 0 0 1 0 129 25 0 0 235 0 0
rc.25-25-hc-repair-po-5.dft 1016 true true true 214 0 0 83 27 0 0 0 25 0 213 26 0 0 428 0 0
rc.25-25-sc-repair-po-5.dft 960 true true true 202 0 0 78 25 0 0 0 25 0 201 25 0 0 404 0 0
rc.3-1-hc-repair-po-5.dft 144 true true true 32 0 0 12 3 0 0 0 1 0 31 4 0 0 61 0 0
rc.3-1-sc-repair-po-5.dft 88 true true true 20 0 0 7 1 0 0 0 1 0 19 3 0 0 37 0 0
rc.3-2-hc-repair-po-5.dft 163 true true true 35 0 0 15 4 0 0 0 2 0 34 4 0 0 69 0 0
rc.3-2-sc-repair-po-5.dft 107 true true true 23 0 0 10 2 0 0 0 2 0 22 3 0 0 45 0 0
rc.3-3-hc-repair-po-5.dft 180 true true true 38 0 0 17 5 0 0 0 3 0 37 4 0 0 76 0 0
rc.3-3-sc-repair-po-5.dft 124 true true true 26 0 0 12 3 0 0 0 3 0 25 3 0 0 52 0 0
rc.3-4-hc-repair-po-5.dft 197 true true true 41 0 0 19 6 0 0 0 4 0 40 4 0 0 83 0 0
rc.3-4-sc-repair-po-5.dft 141 true true true 29 0 0 14 4 0 0 0 4 0 28 3 0 0 59 0 0
rc.30-1-hc-repair-po-5.dft 711 true true true 167 0 0 39 3 0 0 0 1 0 166 31 0 0 304 0 0
rc.30-1-sc-repair-po-5.dft 655 true true true 155 0 0 34 1 0 0 0 1 0 154 30 0 0 280 0 0
rc.30-30-hc-repair-po-5.dft 1206 true true true 254 0 0 98 32 0 0 0 30 0 253 31 0 0 508 0 0
rc.30-30-sc-repair-po-5.dft 1150 true true true 242 0 0 93 30 0 0 0 30 0 241 30 0 0 484 0 0
rc.4-1-hc-repair-po-5.dft 165 true true true 37 0 0 13 3 0 0 0 1 0 36 5 0 0 70 0 0
rc.4-1-sc-repair-po-5.dft 109 true true true 25 0 0 8 1 0 0 0 1 0 24 4 0 0 46 0 0
rc.4-2-hc-repair-po-5.dft 184 true true true 40 0 0 16 4 0 0 0 2 0 39 5 0 0 78 0 0
rc.4-2-sc-repair-po-5.dft 128 true true true 28 0 0 11 2 0 0 0 2 0 27 4 0 0 54 0 0
rc.4-3-hc-repair-po-5.dft 201 true true true 43 0 0 18 5 0 0 0 3 0 42 5 0 0 85 0 0
rc.4-3-sc-repair-po-5.dft 145 true true true 31 0 0 13 3 0 0 0 3 0 30 4 0 0 61 0 0
rc.4-4-hc-repair-po-5.dft 218 true true true 46 0 0 20 6 0 0 0 4 0 45 5 0 0 92 0 0
rc.4-4-sc-repair-po-5.dft 162 true true true 34 0 0 15 4 0 0 0 4 0 33 4 0 0 68 0 0
rc.5-1-hc-repair-po-5.dft 186 true true true 42 0 0 14 3 0 0 0 1 0 41 6 0 0 79 0 0
rc.5-1-sc-repair-po-5.dft 130 true true true 30 0 0 9 1 0 0 0 1 0 29 5 0 0 55 0 0
rc.5-5-hc-repair-po-5.dft 256 true true true 54 0 0 23 7 0 0 0 5 0 53 6 0 0 108 0 0
rc.5-5-sc-repair-po-5.dft 200 true true true 42 0 0 18 5 0 0 0 5 0 41 5 0 0 84 0 0
