benchmarkName countNodes dynamic repair partialObservable FAULT AND OR VOTE SPARE POR_I PAND_I SAND POR PAND BASIC_EVENT FDEP RDEP PDEP MONITOR DELAY SEQ
hecs_1_1-po-4.dft 52 true false true 13 0 0 5 2 0 0 0 0 0 12 0 0 0 20 0 0
hecs_2_1-po-4.dft 105 true false true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 41 0 0
hecs_2_2-po-4.dft 105 true false true 25 0 0 11 4 0 0 0 0 0 24 0 0 0 41 0 0
hecs_3_1-po-4.dft 156 true false true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 61 0 0
hecs_3_3-po-4.dft 156 true false true 37 0 0 16 6 0 0 0 0 0 36 0 0 0 61 0 0
hecs_4_1-po-4.dft 207 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 81 0 0
hecs_4_2-po-4.dft 207 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 81 0 0
hecs_4_3-po-4.dft 207 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 81 0 0
hecs_4_4-po-4.dft 207 true false true 49 0 0 21 8 0 0 0 0 0 48 0 0 0 81 0 0
hecs_5_1-po-4.dft 258 true false true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 101 0 0
hecs_5_5-po-4.dft 258 true false true 61 0 0 26 10 0 0 0 0 0 60 0 0 0 101 0 0
hecs_6_1-po-4.dft 309 true false true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 121 0 0
hecs_6_6-po-4.dft 309 true false true 73 0 0 31 12 0 0 0 0 0 72 0 0 0 121 0 0
hecs_7_1-po-4.dft 360 true false true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 141 0 0
hecs_7_7-po-4.dft 360 true false true 85 0 0 36 14 0 0 0 0 0 84 0 0 0 141 0 0
hecs_8_1-po-4.dft 411 true false true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 161 0 0
hecs_8_8-po-4.dft 411 true false true 97 0 0 41 16 0 0 0 0 0 96 0 0 0 161 0 0
